add-yield-none,12,10000,240000,23761688,99,1
add-none,1,100000,200000,1456741,7,0
add-yield-none,1,100000,200000,122280071,611,0
add-none,2,100000,400000,4577095,11,121
add-yield-none,2,100000,400000,140954576,352,77
add-none,4,100000,800000,10756233,13,174
add-yield-none,4,100000,800000,140445098,175,-1
add-none,8,100000,1600000,17879325,11,211
add-yield-none,8,100000,1600000,170973058,106,2
add-none,12,100000,2400000,27777594,11,173
add-yield-none,12,100000,2400000,230634364,96,0
add-yield-c,1,10,20,336219,16810,0
add-yield-m,1,10,20,331769,16588,0
add-yield-s,1,10,20,358758,17937,0
add-c,1,10,20,337497,16874,0
add-m,1,10,20,322608,16130,0
add-s,1,10,20,298936,14946,0
add-yield-c,2,10,40,365495,9137,0
add-yield-m,2,10,40,329031,8225,0
add-yield-s,2,10,40,353542,8838,0
add-c,2,10,40,352982,8824,0
add-m,2,10,40,349665,8741,0
add-s,2,10,40,288567,7214,0
add-yield-c,4,10,80,374559,4681,0
add-yield-m,4,10,80,448415,5605,0
add-yield-s,4,10,80,378246,4728,0
add-c,4,10,80,335049,4188,0
add-m,4,10,80,369667,4620,0
add-s,4,10,80,388173,4852,0
add-yield-c,8,10,160,531989,3324,0
add-yield-m,8,10,160,512531,3203,0
add-yield-s,8,10,160,1214850,7592,0
add-c,8,10,160,525167,3282,0
add-m,8,10,160,486043,3037,0
add-s,8,10,160,1184051,7400,0
add-yield-c,12,10,240,634847,2645,0
add-yield-m,12,10,240,626480,2610,0
add-yield-s,12,10,240,1328409,5535,0
add-c,12,10,240,1314219,5475,0
add-m,12,10,240,1248302,5201,0
add-s,12,10,240,1487869,6199,0
add-yield-c,1,20,40,326689,8167,0
add-yield-m,1,20,40,344905,8622,0
add-yield-s,1,20,40,328543,8213,0
add-c,1,20,40,288844,7221,0
add-m,1,20,40,323951,8098,0
add-s,1,20,40,346658,8666,0
add-yield-c,2,20,80,345835,4322,0
add-yield-m,2,20,80,421840,5273,0
add-yield-s,2,20,80,370618,4632,0
add-c,2,20,80,353961,4424,0
add-m,2,20,80,336498,4206,0
add-s,2,20,80,352902,4411,0
add-yield-c,4,20,160,386064,2412,0
add-yield-m,4,20,160,379398,2371,0
add-yield-s,4,20,160,548765,3429,0
add-c,4,20,160,365338,2283,0
add-m,4,20,160,386966,2418,0
add-s,4,20,160,1102533,6890,0
add-yield-c,8,20,320,535395,1673,0
add-yield-m,8,20,320,596061,1862,0
add-yield-s,8,20,320,477324,1491,0
add-c,8,20,320,521444,1629,0
add-m,8,20,320,501825,1568,0
add-s,8,20,320,502145,1569,0
add-yield-c,12,20,480,837626,1745,0
add-yield-m,12,20,480,807977,1683,0
add-yield-s,12,20,480,906619,1888,0
add-c,12,20,480,1189000,2477,0
add-m,12,20,480,1383239,2881,0
add-s,12,20,480,1001667,2086,0
add-yield-c,1,40,80,346666,4333,0
add-yield-m,1,40,80,372998,4662,0
add-yield-s,1,40,80,368368,4604,0
add-c,1,40,80,321926,4024,0
add-m,1,40,80,337900,4223,0
add-s,1,40,80,309826,3872,0
add-yield-c,2,40,160,468323,2927,0
add-yield-m,2,40,160,469270,2932,0
add-yield-s,2,40,160,391057,2444,0
add-c,2,40,160,311226,1945,0
add-m,2,40,160,363264,2270,0
add-s,2,40,160,348526,2178,0
add-yield-c,4,40,320,497018,1553,0
add-yield-m,4,40,320,634103,1981,0
add-yield-s,4,40,320,433632,1355,0
add-c,4,40,320,390391,1219,0
add-m,4,40,320,385512,1204,0
add-s,4,40,320,375521,1173,0
add-yield-c,8,40,640,682314,1066,0
add-yield-m,8,40,640,891749,1393,0
add-yield-s,8,40,640,938667,1466,0
add-c,8,40,640,562982,879,0
add-m,8,40,640,1237856,1934,0
add-s,8,40,640,1185873,1852,0
add-yield-c,12,40,960,1391551,1449,0
add-yield-m,12,40,960,1305511,1359,0
add-yield-s,12,40,960,1300799,1354,0
add-c,12,40,960,1166599,1215,0
add-m,12,40,960,1226868,1277,0
add-s,12,40,960,639582,666,0
add-yield-c,1,80,160,389966,2437,0
add-yield-m,1,80,160,389904,2436,0
add-yield-s,1,80,160,422670,2641,0
add-c,1,80,160,284808,1780,0
add-m,1,80,160,326590,2041,0
add-s,1,80,160,293644,1835,0
add-yield-c,2,80,320,493143,1541,0
add-yield-m,2,80,320,591449,1848,0
add-yield-s,2,80,320,419121,1309,0
add-c,2,80,320,344754,1077,0
add-m,2,80,320,333334,1041,0
add-s,2,80,320,360735,1127,0
add-yield-c,4,80,640,578496,903,0
add-yield-m,4,80,640,1022391,1597,0
add-yield-s,4,80,640,820643,1282,0
add-c,4,80,640,408184,637,0
add-m,4,80,640,380055,593,0
add-s,4,80,640,369776,577,0
add-yield-c,8,80,1280,1098467,858,0
add-yield-m,8,80,1280,1724534,1347,0
add-yield-s,8,80,1280,1718044,1342,0
add-c,8,80,1280,1260652,984,0
add-m,8,80,1280,503852,393,0
add-s,8,80,1280,506467,395,0
add-yield-c,12,80,1920,1484147,772,0
add-yield-m,12,80,1920,2257737,1175,0
add-yield-s,12,80,1920,2799049,1457,0
add-c,12,80,1920,1002488,522,0
add-m,12,80,1920,1274955,664,0
